2021-10-07 17:30:45 UTC Syncing #13373136 0xff39…9e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835904 LI:#13373142    7/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:52 UTC Syncing #13373136 0xff39…9e66     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12835904 LI:#13373143   11/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:30:55 UTC Syncing #13373138 0x3b82…cce6     0.40 blk/s   46.2 tx/s    4.3 Mgas/s      0+    5 Qed Ancient:#12835907 LI:#13373144   10/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:01 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835907 LI:#13373144   14/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:05 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835907 LI:#13373147   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:10 UTC Syncing #13373138 0x3b82…cce6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835907 LI:#13373147   16/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:16 UTC Syncing #13373139 0xa644…7100     0.20 blk/s  105.6 tx/s    5.9 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   17/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:20 UTC Syncing #13373139 0xa644…7100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   18/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:25 UTC Syncing #13373139 0xa644…7100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   23/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:30 UTC Syncing #13373139 0xa644…7100     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12835908 LI:#13373148   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:35 UTC Syncing #13373141 0x2d46…ab6c     0.40 blk/s   72.0 tx/s    5.5 Mgas/s      0+    6 Qed Ancient:#12835911 LI:#13373148   25/25 peers      4 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:40 UTC Syncing #13373142 0x07d5…2591     0.20 blk/s   30.0 tx/s    2.0 Mgas/s      0+    5 Qed Ancient:#12835913 LI:#13373148   19/25 peers      4 MiB chain  964 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:45 UTC Syncing #13373143 0x498c…d60f     0.20 blk/s   16.4 tx/s    1.0 Mgas/s      0+    6 Qed Ancient:#12835915 LI:#13373150   18/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:50 UTC Syncing #13373143 0x498c…d60f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12835915 LI:#13373150   20/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:31:55 UTC Syncing #13373144 0x4b63…c024     0.20 blk/s   47.0 tx/s    2.5 Mgas/s      0+    5 Qed Ancient:#12835917 LI:#13373150   17/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:32:00 UTC Syncing #13373145 0xd78f…f27d     0.20 blk/s    3.4 tx/s    0.4 Mgas/s      0+    5 Qed Ancient:#12835919 LI:#13373151   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 17:32:05 UTC Syncing #13373145 0xd78f…f27d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12835919 LI:#13373151   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
