2021-10-06 04:55:26 UTC Syncing #13363423 0x48af…e057     0.20 blk/s    8.0 tx/s    1.0 Mgas/s      0+    5 Qed Ancient:#12390304 LI:#13363429   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:31 UTC Syncing #13363424 0xb2a3…2170     0.20 blk/s   86.4 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12390305 LI:#13363429   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:39 UTC Syncing #13363424 0xb2a3…2170     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12390305 LI:#13363430   30/50 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:45 UTC Syncing #13363425 0x49fa…d5ce     0.21 blk/s  100.2 tx/s    6.5 Mgas/s      0+    4 Qed Ancient:#12390306 LI:#13363430   30/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:55:46 UTC Syncing #13363425 0x49fa…d5ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12390306 LI:#13363431   29/50 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:56:16 UTC  Ancient:#12390576 AB:#12393642   28/50 peers     11 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:56:16 UTC Imported #13363433 0x125a…2833 (68 txs, 5.15 Mgas, 1596 ms, 38.29 KiB)
2021-10-06 04:56:54 UTC  Ancient:#12391766 AB:#12393642   27/50 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:57:50 UTC Syncing #13363433 0x125a…2833     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12391766 LI:#13363442   19/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:58:13 UTC Syncing #13363434 0x08b4…15ad     0.04 blk/s   23.4 tx/s    1.3 Mgas/s      0+   10 Qed Ancient:#12391997 LI:#13363444   16/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
