2021-10-07 16:10:13 UTC Syncing #13372777 0x150e…8bd5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12814543 LI:#13372791    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:18 UTC Syncing #13372778 0xfb02…9eab     0.20 blk/s   46.0 tx/s    3.6 Mgas/s      0+   17 Qed Ancient:#12814544 LI:#13372791    3/25 peers      3 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:25 UTC Syncing #13372779 0xd15a…28fd     0.20 blk/s  120.2 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12814545 LI:#13372791    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:31 UTC Syncing #13372780 0xf822…d0ae     0.20 blk/s   28.2 tx/s    2.1 Mgas/s      0+   15 Qed Ancient:#12814546 LI:#13372791    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:36 UTC Syncing #13372781 0x6edb…cc42     0.20 blk/s   48.8 tx/s    3.9 Mgas/s      0+   14 Qed Ancient:#12814547 LI:#13372791    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:41 UTC Syncing #13372784 0xfe69…3db7     0.60 blk/s   56.4 tx/s    3.8 Mgas/s      0+   11 Qed Ancient:#12814550 LI:#13372791    3/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:45 UTC Syncing #13372785 0x9dbe…a75f     0.20 blk/s   20.4 tx/s    1.4 Mgas/s      0+   10 Qed Ancient:#12814551 LI:#13372791    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:51 UTC Syncing #13372786 0x4984…8990     0.20 blk/s   64.8 tx/s    6.0 Mgas/s      0+    9 Qed Ancient:#12814552 LI:#13372791    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:10:56 UTC Syncing #13372788 0x1772…5421     0.40 blk/s   32.6 tx/s    2.5 Mgas/s      0+    8 Qed Ancient:#12814554 LI:#13372796    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:02 UTC Syncing #13372790 0xec02…3cf6     0.40 blk/s   55.8 tx/s    3.6 Mgas/s      0+    6 Qed Ancient:#12814556 LI:#13372796    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:03 UTC Syncing #13372790 0xec02…3cf6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12814556 LI:#13372796    3/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:09 UTC Syncing #13372791 0x719f…c3c3     0.20 blk/s   84.8 tx/s    6.0 Mgas/s      0+    5 Qed Ancient:#12814557 LI:#13372796    3/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:16 UTC Syncing #13372792 0x48a5…7daa     0.20 blk/s   66.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#12814558 LI:#13372798    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:18 UTC Syncing #13372793 0x520c…36a2     0.20 blk/s   46.0 tx/s    3.7 Mgas/s      0+    5 Qed Ancient:#12814559 LI:#13372798    2/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 16:11:28 UTC Syncing #13372795 0x157f…5bdd     0.20 blk/s   24.4 tx/s    1.5 Mgas/s      0+    3 Qed Ancient:#12814561 LI:#13372798    2/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
